episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_01_0007__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0007,9cc9f2f778c56af9b552de233bd3b5fd64447a327016f2ce7f5126172d7fce5f,learned_image_diagnostic,Q4,non_boundary,south,2.75,0.4,0.8,True,0.7684112727589536,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0008__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0008,526c842895ecfd60a9956ae6a86e1818520eca53bffaa11a3a156f7dbb16a684,no_diagnosis,Q3,non_boundary,south,2.25,0.4,1.0,False,40.70696783974461,6,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0008__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0008,526c842895ecfd60a9956ae6a86e1818520eca53bffaa11a3a156f7dbb16a684,oracle_diagnosis,Q3,non_boundary,south,2.25,0.4,1.0,True,0.6516742508700872,7,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0008__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0008,526c842895ecfd60a9956ae6a86e1818520eca53bffaa11a3a156f7dbb16a684,learned_image_diagnostic,Q3,non_boundary,south,2.25,0.4,1.0,True,0.6516742508700872,7,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0009__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0009,d2a493b733d4d29a70faa7b568f8ca6e4e0eff1641dfc934ff775063a9693e85,no_diagnosis,Q2,non_boundary,west,2.25,0.5,0.8,False,28.262435356202275,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0009__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0009,d2a493b733d4d29a70faa7b568f8ca6e4e0eff1641dfc934ff775063a9693e85,oracle_diagnosis,Q2,non_boundary,west,2.25,0.5,0.8,True,0.5184790514601332,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0009__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0009,d2a493b733d4d29a70faa7b568f8ca6e4e0eff1641dfc934ff775063a9693e85,learned_image_diagnostic,Q2,non_boundary,west,2.25,0.5,0.8,True,0.5184790514601332,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0000__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0000,21ae5e9456a58e1e96dbfbc8491d84e0060f02de21e33ad570cfc7febfb0bfa6,no_diagnosis,Q2,boundary,north_east,2.75,0.5,0.8,False,6.094857580796884,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0000__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0000,21ae5e9456a58e1e96dbfbc8491d84e0060f02de21e33ad570cfc7febfb0bfa6,oracle_diagnosis,Q2,boundary,north_east,2.75,0.5,0.8,True,0.45185396969026215,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0000__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0000,21ae5e9456a58e1e96dbfbc8491d84e0060f02de21e33ad570cfc7febfb0bfa6,learned_image_diagnostic,Q2,boundary,north_east,2.75,0.5,0.8,True,0.45185396969026215,2,0,0,True,False
